month,block_start,block_end,pairs_active,events_sync,events_mint,events_burn,events_total,transfers,tokens_active,new_pools,new_pools_alto,new_pools_medio,new_pools_bajo
2020-06,10091132,10130908,5,916,185,26,1127,30044,32,4,4,0,0
2020-07,10130909,10333817,21,16752,531,261,17544,258030,53,16,6,2,8
2020-08,10333818,10536726,31,30807,578,318,31703,415049,65,21,6,2,13
2020-09,10536727,10733089,78,109870,1238,695,111803,449695,104,62,17,12,33
2020-10,10733090,10935999,108,95401,8434,2627,106462,511996,142,80,17,17,46
2020-11,10936000,11132362,183,100500,7693,4106,112299,425357,213,124,26,23,75
2020-12,11132363,11335271,194,117875,4721,5165,127761,511303,222,116,23,37,56
2021-01,11335272,11538180,141,110621,4814,2730,118165,649453,166,56,18,19,19
2021-02,11538181,11721453,107,96670,3180,1993,101843,632556,134,23,6,7,10
2021-03,11721454,11924362,112,156994,3247,2251,162492,777381,138,24,9,9,6
2021-04,11924363,12120726,110,151849,3455,1631,156935,561107,137,23,7,8,8
2021-05,12120727,12323635,167,177519,4744,1944,184207,595073,186,67,20,14,33
2021-06,12323636,12519999,207,240121,2953,2243,245317,766140,222,78,22,16,40
2021-07,12520000,12722908,294,155561,2971,1473,160005,709570,320,152,28,35,89
2021-08,12722909,12925817,245,97044,1348,1029,99421,635860,272,98,23,25,50
2021-09,12925818,13122180,166,74150,647,720,75517,565185,191,36,10,13,13
2021-10,13122181,13220488,103,22724,339,330,23393,153638,130,7,2,3,2
