pair_address,token_address,estrato,sync_count,mint_count,burn_count,transfer_count,token0_decimals,token1_decimals,first_block,last_block,lifespan_blocks,active_days,last_event_type,terminal_burn_flag,transfers_count,unique_senders,unique_recipients,total_value,top3_n,concentration_top3,burn_ratio
0x78a8805acf5d1a7b28a83d79bccda0def40b4335,0xebf919584021075d3f7bf3d6cf1c6dc318221eff,bajo,9,1,1,4,18,18,10956992.0,10957579.0,587.0,0.0866087962962963,burn,1.0,10.0,5.0,7.0,1.7239135258430614e+22,6.0,0.6,0.5
0xa5ffe698f774ef96871a9641ff2b56b8ab97fc12,0x219865b49bea3a1638084cd1e8c6c87e36de308f,bajo,9,6,2,11,18,18,12586083.0,12857613.0,271530.0,42.29604166666667,burn,1.0,43.0,11.0,20.0,1.4917069672642946e+28,17.0,0.3953488372093023,0.2857142857142857
0x7e47c5c0fe5838e9c29735923547b388bf95b7b7,0xfa235907a2705f3b55b222b29bb4637549fd3d28,bajo,14,1,1,6,18,18,13150967.0,13206210.0,55243.0,8.538819444444444,burn,1.0,30.0,7.0,12.0,4.0253898879863613e+30,20.0,0.6666666666666666,0.5
0xe5c1ad5f6f3f051cccebf9236e712dd1bf45b61a,0xcccdb294b52fc00051bf694fc798efee33bc0358,bajo,13,1,1,4,18,18,12664687.0,12688763.0,24076.0,3.7582060185185187,burn,1.0,15.0,4.0,13.0,3.835923727223247e+30,5.0,0.3333333333333333,0.5
0xe89052e63a5914ed4fb5e5b7d507c36b8b7a4386,0x81835d805d3b4baeaf31655ee62fa6b7cafdb599,bajo,9,5,1,8,18,18,12358068.0,12358219.0,151.0,0.023113425925925926,burn,1.0,11.0,4.0,5.0,1.0005857772515537e+33,9.0,0.8181818181818182,0.16666666666666666
0x63d6acffb0f747c601ed6e0b58c1c2ce0ce72d60,0x43da623816e6249cdd8462a426d8fce9164dfd8c,bajo,8,1,1,4,18,18,11105564.0,11113070.0,7506.0,1.1500462962962963,burn,1.0,201.0,5.0,199.0,9.190095639810415e+24,5.0,0.024875621890547265,0.5
0x8d2e516e661fea86dcc64094d33c78a7f6a90c66,0xd4ecdf665de33427c293ba178f4da2bd09d52a8e,bajo,11,1,0,2,18,18,,,,,,,,,,,,,0.0
0xa2829dda978ec1b2307fb431760db1f4d33c675e,0x7300eab43eeeaf3e4cf55573a4cf386347d2bcad,bajo,17,1,1,5,18,18,12257093.0,12257235.0,142.0,0.022789351851851852,sync,0.0,19.0,4.0,16.0,3.6614916368486116e+32,6.0,0.3157894736842105,0.5
0x8b5ed5d0cd94c49597cba3a8a89a6f7ec673127e,0x04b36ce1a6e8f6255ee82c9647f6357e2f4668e8,bajo,7,1,1,4,18,18,12609293.0,12609412.0,119.0,0.01758101851851852,burn,1.0,9.0,4.0,8.0,1.9203810953399783e+26,4.0,0.4444444444444444,0.5
0x8b662f167916ac9095d0687d185f568fb21b8647,0x3eee07d48dab5ba20e414fcefd9d1a0fa92e1bda,bajo,9,1,1,4,18,18,10999981.0,11000749.0,768.0,0.11767361111111112,burn,1.0,11.0,5.0,7.0,2.699574939521075e+24,7.0,0.6363636363636364,0.5
0xa66f81d1b7e75a55eb65665a1d00d6c984c131be,0xb16d7fab1b733fae97abf6a280411de3e55b39e0,bajo,18,1,0,4,18,18,11454426.0,11465959.0,11533.0,1.7657060185185185,sync,0.0,20.0,7.0,10.0,2.7674217172257913e+27,13.0,0.65,0.0
0x561f325c2d5c2ec3ee09ccc637d9a4c206b631ac,0xf8b41354cb29ce8b43b532d2baa06f15b0ecbb10,bajo,8,1,1,4,18,18,12585717.0,12588568.0,2851.0,0.45064814814814813,burn,1.0,10.0,4.0,9.0,2.9782497596802178e+23,4.0,0.4,0.5
0xd94c4ea89d69fbdff4b4bac9fb115fb4dda056de,0x87654bf470056d7f13b2be176b6c76ea7d97e10d,bajo,8,1,1,4,18,18,10768765.0,11063403.0,294638.0,45.44619212962963,burn,1.0,9.0,4.0,7.0,4.365649836282761e+20,5.0,0.5555555555555556,0.5
0xb7ad6abb269537fa07da4fffd66059e84451877c,0xe33cd1de64508f19ecc2f5dbf6ef443f7c4fb00a,bajo,17,1,1,4,18,18,13075533.0,13075639.0,106.0,0.01800925925925926,burn,1.0,21.0,9.0,14.0,3.419736465957299e+30,10.0,0.47619047619047616,0.5
0xc338c3da844da89eb5bb373130cffc1847be6d27,0xed179413da4ee6bdc8f7ac6be5f023560b60314b,bajo,22,1,1,4,18,18,12601210.0,12601426.0,216.0,0.031053240740740742,burn,1.0,27.0,6.0,23.0,2.6044689940620754e+24,7.0,0.25925925925925924,0.5
0x71c1d314db8850f95a499246e45cc03146df29dd,0x30101bdb477776e7e3b3e3659bb2b5515952b656,bajo,18,1,1,4,18,18,12490094.0,12490596.0,502.0,0.080625,burn,1.0,20.0,8.0,13.0,1.9921839026092065e+31,10.0,0.5,0.5
0x4fa1311bbf86bcce0651a9e823db4e3a238717c1,0x7278264d96813f2b22cff0f543e2a3973467d0ea,bajo,25,5,3,16,18,18,12235542.0,12326286.0,90744.0,14.007314814814816,sync,0.0,76.0,9.0,19.0,1.9352795401993932e+30,55.0,0.7236842105263158,0.5
0x4c608ab8ab7e593ba96d9bbe201783d36f726523,0xe7e9adc235360c2b6c53f68f6fba58d0955790fd,bajo,6,1,1,4,18,18,12286742.0,12286782.0,40.0,0.005405092592592592,burn,1.0,8.0,5.0,6.0,3.871095742315263e+20,5.0,0.625,0.5
0xa57cce8c5c5428b306f039a0c5926f6a70d91e3e,0xd7b1d6e053c6109e74df127006098ab9605e303a,bajo,9,4,2,9,18,18,11124575.0,11124698.0,123.0,0.019814814814814816,burn,1.0,13.0,5.0,5.0,5.343002794912928e+21,11.0,0.8461538461538461,0.4
0x5f1157264e23112b491c8f5bcde00566fe9023de,0x0706b4398c99d6494028be68ccdbd668a8e4a99f,bajo,10,1,1,4,18,18,12700915.0,12701261.0,346.0,0.05369212962962963,burn,1.0,13.0,4.0,10.0,2.9642836840234647e+33,6.0,0.46153846153846156,0.5
0x2c8b78926ceb653225e741028966fadd5456f762,0x2ad63a2b7e6eade59ba1e0d2777bd5e963613877,bajo,14,1,1,4,18,18,12311237.0,12311321.0,84.0,0.014016203703703704,burn,1.0,18.0,8.0,10.0,4.2912905343529556e+26,11.0,0.6111111111111112,0.5
0x966b5651e0528767af7bd8613b4f6bbe16255017,0xe6fbca3863a667b5f22952c283edd1b51f9fd152,bajo,18,1,12,26,18,18,11226166.0,11260811.0,34645.0,5.318923611111111,burn,1.0,60.0,3.0,5.0,3.0327707296e+21,54.0,0.9,6.0
0x066854b5445d19fca0f4c053632b80f8a5ca6a6a,0x09582cc82869e4548a908df39be6b2cef9427f33,bajo,15,1,1,4,18,18,12602078.0,12602107.0,29.0,0.0061342592592592594,burn,1.0,19.0,9.0,11.0,4.84751396610162e+30,11.0,0.5789473684210527,0.5
0x1fd0376816edddb3b682ece758b6b1ffaa1d03c3,0x7c4eb342a0298f8d8e0e6ac3e1f3efae0c7ea655,bajo,13,1,1,4,18,18,11109236.0,11111345.0,2109.0,0.3302083333333333,burn,1.0,15.0,5.0,11.0,2.4926235419728314e+23,7.0,0.4666666666666667,0.5
0x21c0238c4121f0f5b39d63fdb3b947e9f8164be7,0xf567e2747480ec9feeec18de46afe5d74e5fd2ec,bajo,7,2,2,15,18,18,11542357.0,11561890.0,19533.0,3.002847222222222,burn,1.0,47.0,7.0,11.0,1.7534963941722024e+22,36.0,0.7659574468085106,0.6666666666666666
0x781de89ee838936392bc838abf8a60a33e199227,0x2524c1ea165f884ac42c7e1369219a1f59870650,bajo,7,1,0,2,18,18,11567806.0,11600345.0,32539.0,4.985995370370371,sync,0.0,14.0,5.0,8.0,1.113106099510919e+24,9.0,0.6428571428571429,0.0
0x95d27b2e4d48b4e6cbe346d31c90abe3fe016e98,0x103f3c536ee29b45757991f080cc0db71791d4fe,bajo,25,3,2,10,2,18,11464932.0,12151300.0,686368.0,105.5158912037037,burn,1.0,38.0,11.0,17.0,6409194210.0,17.0,0.4473684210526316,0.5
0xf72fe4a91c29662a2cd49580d849613516a62574,0xfbf1e2c2a05ab39538cc0cd8edd65cfb5ee56829,bajo,9,1,1,4,18,18,10414887.0,10415231.0,344.0,0.05340277777777778,burn,1.0,12.0,4.0,9.0,2.8402801078849905e+25,6.0,0.5,0.5
0xa13f0e8b12356f4dc1779e91ef63a152b646a1fb,0x97215b40e454b435d2871c9a74e9939133a58089,bajo,6,1,1,4,18,18,10397373.0,10397398.0,25.0,0.003912037037037037,burn,1.0,12.0,6.0,7.0,23010664587014.0,8.0,0.6666666666666666,0.5
0xf4b2a1bb7f220444fddc6a619ca5305c2f74386f,0x803a61fde7aeac9cfd0b8e032e8655254b0fbdab,bajo,25,1,1,4,18,18,12845924.0,12846109.0,185.0,0.02556712962962963,burn,1.0,27.0,8.0,22.0,2.1528085932786917e+33,8.0,0.2962962962962963,0.5
0x2e89cd3374d87541d607bf92ccb15c8a9d46ba65,0xfdb615d6a15f929ddabc6b83a4f1cf9d361b064e,bajo,18,3,0,4,18,18,11239015.0,12923622.0,1684607.0,260.03770833333334,sync,0.0,230.0,64.0,86.0,1.527177477254088e+23,63.0,0.27391304347826084,0.0
0xeb092944076521b3d1bc1839fa2290a07b84d879,0x3667055da4e935c1be7a60c961d9505ceff9272a,bajo,15,1,1,4,18,18,12989461.0,12994425.0,4964.0,0.7644560185185185,burn,1.0,17.0,4.0,12.0,3.060500599693998e+30,8.0,0.47058823529411764,0.5
0xdaaf8a0da1411497190101a827f642150e4850b2,0x3dae9991d97d0b98f83b0462a34ec4f68527ff41,bajo,6,1,1,4,18,18,11006304.0,11006409.0,105.0,0.01570601851851852,burn,1.0,7.0,4.0,5.0,5.430836991711443e+22,5.0,0.7142857142857143,0.5
0xbeebfa456113561eedb00c0a9db7b026ac7ee13b,0x427d5ddc79490fdf91b3cddcc2729a995d1d6156,bajo,7,1,1,4,18,18,10393378.0,10397146.0,3768.0,0.5799421296296297,burn,1.0,8.0,5.0,6.0,3.0364648230435433e+26,5.0,0.625,0.5
0x6a54627e1c2a38f02a993349bc8662a9fa6e1cab,0xac052b053a073bb64d6db4559140901c5756eb26,bajo,7,1,1,4,18,18,11161814.0,11163685.0,1871.0,0.2920949074074074,burn,1.0,9.0,4.0,8.0,1.0005756779130174e+29,4.0,0.4444444444444444,0.5
0x250d039cd02b6fb89637b0bb786858bd0f141d8f,0x763a4f9370ef41cd0db825adf60bb53c4a9a1bef,bajo,7,2,1,5,18,18,12168988.0,12369268.0,200280.0,30.86230324074074,sync,0.0,13.0,5.0,6.0,3.6004272039372486e+31,10.0,0.7692307692307693,0.3333333333333333
0xde7709c200ce7bb5b07f79f3fae0a4db5f569b00,0xceb75ec5c348290388e632e3e555b9267a3a475b,bajo,8,1,1,4,18,18,12583850.0,12585876.0,2026.0,0.31364583333333335,burn,1.0,9.0,3.0,7.0,2.864417696158004e+26,5.0,0.5555555555555556,0.5
0x28318d1a1d913219dd2d351ae92f06fb44df21dd,0x6754e1d9daa1986b41e6530d34384f0726a0db59,bajo,7,1,1,4,18,18,10535197.0,10539533.0,4336.0,0.6666319444444444,burn,1.0,16.0,9.0,15.0,1.5823376692861269e+24,4.0,0.25,0.5
0x26256e6e2628e0216b7d6ab7afca53b4839c8865,0xbdb84d00d489cace7b9c9fadc64397cce606f322,bajo,13,1,1,4,18,18,12285147.0,12285687.0,540.0,0.07844907407407407,burn,1.0,16.0,5.0,14.0,3.687372153074312e+30,5.0,0.3125,0.5
0x50c2e5d670e590ca1a1a505d3df220947d7b9223,0xecf96bee48be24f8ce1ea045a4f6c6cf061190e1,bajo,25,1,1,4,18,18,11640741.0,11660223.0,19482.0,2.9822800925925925,burn,1.0,30.0,5.0,28.0,1.3639654815163032e+25,5.0,0.16666666666666666,0.5
0x93e0b685ad8d7c0b6f2959a35f5257bd7bb2d4be,0x47a7168cacf04a5bf288af0316f2f6f240a4ca8a,bajo,9,1,1,4,18,18,11450475.0,11459692.0,9217.0,1.4133796296296297,burn,1.0,13.0,6.0,8.0,2.50322146655405e+21,8.0,0.6153846153846154,0.5
0x44ca7de37fe94a8a08bf98cf0d9666c39f689fed,0x66a39df646bfbee0386724deea63b0496c940196,bajo,19,1,1,4,18,18,12488075.0,12489411.0,1336.0,0.20631944444444444,burn,1.0,24.0,11.0,13.0,3.2468218089286625e+33,13.0,0.5416666666666666,0.5
0x585248d32f1e9c849d7a68bfda799c45481868c4,0xdd66a640a9f1d412c75604c489f427121312e88b,bajo,11,1,0,4,18,18,12549329.0,12565278.0,15949.0,2.466597222222222,sync,0.0,13.0,3.0,10.0,2.003960282003096e+35,6.0,0.46153846153846156,0.0
0xa969bbca15938e076d724dfb31cd747cf9077624,0xf979d80a1aa41530424b9862db13900fd49e86fb,bajo,24,1,1,4,18,18,11194669.0,11203713.0,9044.0,1.3762152777777779,burn,1.0,76.0,9.0,57.0,3.519856980175221e+23,14.0,0.18421052631578946,0.5
0x25ac3e9701d493617f7f133c320d9c163ca2a63e,0x0c0a13dad5a29d6047ae3982c7ac9118a998500d,bajo,10,1,1,4,18,18,11265030.0,11265145.0,115.0,0.016226851851851853,burn,1.0,12.0,7.0,7.0,5.251384634561662e+22,8.0,0.6666666666666666,0.5
0xa5c9249341391da2e63f7c6d45b2dcd12fb6b4c2,0xc1c256951d6ceb231782928c73ceb65dbe6a4e2e,bajo,7,1,1,4,18,18,11208411.0,11208419.0,8.0,0.0008680555555555555,burn,1.0,9.0,6.0,6.0,4.587269047899952e+21,6.0,0.6666666666666666,0.5
